source,target,group,value
Newsprint Mills,boiler fuel,mecs,0.008
Newsprint Mills,end use not reported,mecs,0.023
Newsprint Mills,energy materials in products,mecs,0.0
Newsprint Mills,nonprocess energy,mecs,0.001
Newsprint Mills,process energy,mecs,0.028
Nitrogenous Fertilizers,boiler fuel,mecs,0.036
Nitrogenous Fertilizers,end use not reported,mecs,0.018
Nitrogenous Fertilizers,energy materials in products,mecs,0.524
Nitrogenous Fertilizers,nonprocess energy,mecs,0.002
Nitrogenous Fertilizers,process energy,mecs,0.125
Non-Highway,Air,,1.707050171
Non-Highway,Pipeline Fuel Natural Gas,,0.873435974
Non-Highway,Rail,,0.517655273
Non-Highway,Water,,0.969173279
Nonferrous Metal (except Aluminum) Smelting and Refining,boiler fuel,mecs,0.006
Nonferrous Metal (except Aluminum) Smelting and Refining,end use not reported,mecs,0.004
Nonferrous Metal (except Aluminum) Smelting and Refining,energy materials in products,mecs,0.004
Nonferrous Metal (except Aluminum) Smelting and Refining,nonprocess energy,mecs,0.002
Nonferrous Metal (except Aluminum) Smelting and Refining,process energy,mecs,0.035
Nonferrous Metal Die-Casting Foundries,boiler fuel,mecs,0.001
Nonferrous Metal Die-Casting Foundries,end use not reported,mecs,0.0
Nonferrous Metal Die-Casting Foundries,energy materials in products,mecs,0.0
Nonferrous Metal Die-Casting Foundries,nonprocess energy,mecs,0.005
Nonferrous Metal Die-Casting Foundries,process energy,mecs,0.018
"Nonferrous Metals, except Aluminum",Nonferrous Metal (except Aluminum) Smelting and Refining,mecs,0.052
"Nonferrous Metals, except Aluminum",boiler fuel,mecs,0.008
"Nonferrous Metals, except Aluminum",end use not reported,mecs,0.007
"Nonferrous Metals, except Aluminum",energy materials in products,mecs,0.013
"Nonferrous Metals, except Aluminum",nonprocess energy,mecs,0.008
"Nonferrous Metals, except Aluminum",process energy,mecs,0.072
Nonmetallic Mineral Products,Cements,mecs,0.3
Nonmetallic Mineral Products,Clay Building Material and Refractories,mecs,0.043
Nonmetallic Mineral Products,Flat Glass,mecs,0.062
Nonmetallic Mineral Products,Glass Containers,mecs,0.058
Nonmetallic Mineral Products,Glass Products from Purchased Glass,mecs,0.023
Nonmetallic Mineral Products,Gypsum,mecs,0.053
Nonmetallic Mineral Products,Lime,mecs,0.105
Nonmetallic Mineral Products,Mineral Wool,mecs,0.033
Nonmetallic Mineral Products,Other Pressed and Blown Glass and Glassware,mecs,0.032
Nuclear Production,Primary Nuclear,Nuclear,8.33768
Office,Air Conditioning,services,0.118
Office,Computing,services,0.167
Office,Lighting,services,0.148
Office,Office Equipment,services,0.037
Office,Other Appliances,services,0.153
Office,Refrigerators,services,0.028
Office,Space Heating,services,0.305
Office,Ventilation,services,0.214
Office,Water Heating,services,0.035
"Other Aluminum Rolling, Drawing and Extruding",boiler fuel,mecs,0.001
"Other Aluminum Rolling, Drawing and Extruding",end use not reported,mecs,0.0
"Other Aluminum Rolling, Drawing and Extruding",energy materials in products,mecs,0.001
"Other Aluminum Rolling, Drawing and Extruding",nonprocess energy,mecs,0.003
"Other Aluminum Rolling, Drawing and Extruding",process energy,mecs,0.015
Other Basic Inorganic Chemicals,boiler fuel,mecs,0.104
Other Basic Inorganic Chemicals,end use not reported,mecs,0.074
Other Basic Inorganic Chemicals,energy materials in products,mecs,0.017
Other Basic Inorganic Chemicals,nonprocess energy,mecs,0.01
Other Basic Inorganic Chemicals,process energy,mecs,0.169
Other Basic Organic Chemicals,boiler fuel,mecs,0.279
Other Basic Organic Chemicals,end use not reported,mecs,0.321
Other Basic Organic Chemicals,energy materials in products,mecs,0.843
Other Basic Organic Chemicals,nonprocess energy,mecs,0.015
Other Basic Organic Chemicals,process energy,mecs,0.176
Other Municipal Lighting,Billboards,lighting,0.00034
Other Municipal Lighting,Parking Lots,lighting,0.075752
Other Municipal Lighting,Street Lighting,lighting,0.105264
Other Petroleum and Coal Products,boiler fuel,mecs,0.002
Other Petroleum and Coal Products,end use not reported,mecs,0.044
Other Petroleum and Coal Products,energy materials in products,mecs,0.143
Other Petroleum and Coal Products,nonprocess energy,mecs,0.001
Other Petroleum and Coal Products,process energy,mecs,0.011
Other Pressed and Blown Glass and Glassware,boiler fuel,mecs,0.003
Other Pressed and Blown Glass and Glassware,end use not reported,mecs,0.0
Other Pressed and Blown Glass and Glassware,energy materials in products,mecs,0.0
Other Pressed and Blown Glass and Glassware,nonprocess energy,mecs,0.002
Other Pressed and Blown Glass and Glassware,process energy,mecs,0.026
Other Wood Products,boiler fuel,mecs,0.004
Other Wood Products,end use not reported,mecs,0.0
Other Wood Products,energy materials in products,mecs,0.0
Other Wood Products,nonprocess energy,mecs,0.013
Other Wood Products,process energy,mecs,0.028
Other-Residential,Cooking,housing,0.667032967
Other-Residential,Electronics,housing,0.4558058608
Other-Residential,Lighting,housing,0.8337912088
Other-Residential,Other Appliances,housing,0.5447435897
Other-Residential,Washing,housing,0.5336263736
Paper,Newsprint Mills,mecs,0.059
Paper,"Paper Mills, except Newsprint",mecs,0.751
Paper,Paperboard Mills,mecs,0.915
Paper,Pulp Mills,mecs,0.255
"Paper Mills, except Newsprint",boiler fuel,mecs,0.183
"Paper Mills, except Newsprint",end use not reported,mecs,0.43
"Paper Mills, except Newsprint",energy materials in products,mecs,0.0
"Paper Mills, except Newsprint",nonprocess energy,mecs,0.013
"Paper Mills, except Newsprint",process energy,mecs,0.125
Paperboard Mills,boiler fuel,mecs,0.187
Paperboard Mills,end use not reported,mecs,0.622
Paperboard Mills,energy materials in products,mecs,0.0
Paperboard Mills,nonprocess energy,mecs,0.011
Paperboard Mills,process energy,mecs,0.096
Petrochemicals,boiler fuel,mecs,0.087
Petrochemicals,end use not reported,mecs,0.207
Petrochemicals,energy materials in products,mecs,0.998
Petrochemicals,nonprocess energy,mecs,0.002
Petrochemicals,process energy,mecs,0.24
Petroleum Adjustments,Primary Petroleum,Petroleum,0.624588
Petroleum Net Imports,Primary Petroleum,Petroleum,8.48719535
Petroleum Processing Gain,Primary Petroleum,Petroleum,1.8941894
Petroleum Refineries,boiler fuel,mecs,0.341
Petroleum Refineries,end use not reported,mecs,2.274
Petroleum Refineries,energy materials in products,mecs,0.0
Petroleum Refineries,nonprocess energy,mecs,0.021
Petroleum Refineries,process energy,mecs,0.737
Petroleum and Coal Products,Asphalt Paving Mixture and Block,mecs,0.43
Petroleum and Coal Products,Asphalt Shingle and Coating Materials,mecs,0.165
Petroleum and Coal Products,Other Petroleum and Coal Products,mecs,0.201
Petroleum and Coal Products,Petroleum Refineries,mecs,3.372
Pharmaceutical Preparation,boiler fuel,mecs,0.016
Pharmaceutical Preparation,end use not reported,mecs,0.003
Pharmaceutical Preparation,energy materials in products,mecs,0.0
Pharmaceutical Preparation,nonprocess energy,mecs,0.014
Pharmaceutical Preparation,process energy,mecs,0.013
Pharmaceuticals and Medicines,Pharmaceutical Preparation,mecs,0.047
Pharmaceuticals and Medicines,boiler fuel,mecs,0.039
Pharmaceuticals and Medicines,end use not reported,mecs,0.004
Pharmaceuticals and Medicines,energy materials in products,mecs,0.001
Pharmaceuticals and Medicines,nonprocess energy,mecs,0.027
Pharmaceuticals and Medicines,process energy,mecs,0.023
Phosphatic Fertilizers,boiler fuel,mecs,0.006
Phosphatic Fertilizers,end use not reported,mecs,0.0
Phosphatic Fertilizers,energy materials in products,mecs,0.0
Phosphatic Fertilizers,nonprocess energy,mecs,0.001
Phosphatic Fertilizers,process energy,mecs,0.028
"Photographic Film, Paper, Plate, and Chemicals",boiler fuel,mecs,0.002
"Photographic Film, Paper, Plate, and Chemicals",end use not reported,mecs,0.002
"Photographic Film, Paper, Plate, and Chemicals",energy materials in products,mecs,0.0
"Photographic Film, Paper, Plate, and Chemicals",nonprocess energy,mecs,0.001
"Photographic Film, Paper, Plate, and Chemicals",process energy,mecs,0.003
Plastics Materials and Resins,boiler fuel,mecs,0.29
Plastics Materials and Resins,end use not reported,mecs,0.104
Plastics Materials and Resins,energy materials in products,mecs,1.306
Plastics Materials and Resins,nonprocess energy,mecs,0.014
Plastics Materials and Resins,process energy,mecs,0.136
Primary Biomass,Electricity,Biomass,0.520226
Primary Biomass,Produced and Distributed Biomass,Biomass,4.19508
Primary Coal,Electricity,Coal,14.56816544
Primary Coal,Produced and Distributed Coal,Coal,3.161569484
Primary Geothermal,Electricity,Geothermal,0.159458
Primary Geothermal,Produced and Distributed Geothermal,Geothermal,0.2081202
Primary Hydroelectric,Electricity,Hydroelectric,2.375652
Primary Hydroelectric,Produced and Distributed Hydroelectric,Hydroelectric,0.012961
Primary Metals,Alumina and Aluminum,mecs,0.254
Primary Metals,Foundries,mecs,0.119
Primary Metals,Iron and Steel Mills and Ferroalloys,mecs,1.101
Primary Metals,"Nonferrous Metals, except Aluminum",mecs,0.109
Primary Metals,Steel Products from Purchased Steel,mecs,0.058
Primary Natural Gas,Electricity,Natural Gas,9.970587797
Primary Natural Gas,Produced and Distributed Natural Gas,Natural Gas,18.35539243
Primary Nuclear,Electricity,Nuclear,8.33768
Primary Petroleum,Electricity,Petroleum,0.2774765694
Primary Petroleum,Produced and Distributed Petroleum,Petroleum,35.91084446
Primary Solar/PV,Electricity,Solar/PV,0.24621
Primary Solar/PV,Produced and Distributed Solar/PV,Solar/PV,0.4637485
Primary Wind,Electricity,Wind,1.814013
Primary Wind,Produced and Distributed Wind,Wind,1.18081145
Produced and Distributed Biomass,Commercial Sector,Biomass,0.122194
Produced and Distributed Biomass,Residential Sector,Biomass,0.43152
Produced and Distributed Biomass,Transportation Sector,Biomass,1.347034
Produced and Distributed Biomass,industrial sector,Biomass,2.4669
Produced and Distributed Coal,Coal Net Exports,Coal,1.231750541
Produced and Distributed Coal,Coal Stock Change,Coal,0.8855592536
Produced and Distributed Coal,Commercial Sector,Coal,0.056489
Produced and Distributed Coal,Government Sector,Coal,0.0135
Produced and Distributed Coal,Residential Sector,Coal,0.007782
Produced and Distributed Coal,industrial sector,Coal,1.20534
Produced and Distributed Geothermal,Commercial Sector,Geothermal,0.0197
Produced and Distributed Geothermal,Residential Sector,Geothermal,0.043966
Produced and Distributed Geothermal,industrial sector,Geothermal,0.0042
Produced and Distributed Hydroelectric,Commercial Sector,Hydroelectric,0.000381
Produced and Distributed Hydroelectric,industrial sector,Hydroelectric,0.01172
Produced and Distributed Natural Gas,Commercial Sector,Natural Gas,3.3041
Produced and Distributed Natural Gas,Government Sector,Natural Gas,0.1475
Produced and Distributed Natural Gas,Residential Sector,Natural Gas,4.752747
Produced and Distributed Natural Gas,Transportation Sector,Natural Gas,0.923167
Produced and Distributed Natural Gas,industrial sector,Natural Gas,9.63847
Produced and Distributed Petroleum,Commercial Sector,Petroleum,0.561601
Produced and Distributed Petroleum,Government Sector,Petroleum,0.5984
Produced and Distributed Petroleum,Petroleum Stock,Petroleum,0.79166675
Produced and Distributed Petroleum,Residential Sector,Petroleum,0.982731
Produced and Distributed Petroleum,Transportation Sector,Petroleum,25.358195
Produced and Distributed Petroleum,industrial sector,Petroleum,8.34681
Produced and Distributed Solar/PV,Commercial Sector,Solar/PV,0.005267
Produced and Distributed Solar/PV,Residential Sector,Solar/PV,0.349747
Produced and Distributed Solar/PV,industrial sector,Solar/PV,0.01927
Produced and Distributed Wind,Commercial Sector,Wind,0.001154
Produced and Distributed Wind,industrial sector,Wind,0.00065
Public assembly,Air Conditioning,services,0.086
Public assembly,Computing,services,0.016
Public assembly,Cooking,services,0.014
Public assembly,Lighting,services,0.035
Public assembly,Office Equipment,services,0.007
Public assembly,Other Appliances,services,0.072
Public assembly,Refrigerators,services,0.025
Public assembly,Space Heating,services,0.189
Public assembly,Ventilation,services,0.024
Public assembly,Water Heating,services,0.007
Public order and safety,Air Conditioning,services,0.016
Public order and safety,Computing,services,0.008
Public order and safety,Cooking,services,0.004
Public order and safety,Lighting,services,0.015
Public order and safety,Office Equipment,services,0.003
Public order and safety,Other Appliances,services,0.022
Public order and safety,Refrigerators,services,0.003
Public order and safety,Space Heating,services,0.036
Public order and safety,Ventilation,services,0.005
Public order and safety,Water Heating,services,0.021
Pulp Mills,boiler fuel,mecs,0.018
Pulp Mills,end use not reported,mecs,0.216
Pulp Mills,energy materials in products,mecs,0.0
Pulp Mills,nonprocess energy,mecs,0.0
Pulp Mills,process energy,mecs,0.018
Rail,Freight-Rail,transport-stuff,0.466393524
Rail,Passenger,transport-stuff,0.051261734
Reconstituted Wood Products,boiler fuel,mecs,0.004
Reconstituted Wood Products,end use not reported,mecs,0.058
Reconstituted Wood Products,energy materials in products,mecs,0.0
Reconstituted Wood Products,nonprocess energy,mecs,0.002
Reconstituted Wood Products,process energy,mecs,0.032
Religious worship,Air Conditioning,services,0.015
Religious worship,Computing,services,0.003
Religious worship,Cooking,services,0.011
Religious worship,Lighting,services,0.009
Religious worship,Office Equipment,services,0.003
Religious worship,Other Appliances,services,0.026
Religious worship,Refrigerators,services,0.004
Religious worship,Space Heating,services,0.075
Religious worship,Ventilation,services,0.013
Renewable Fuels and Oxygenate Plant Net Production,Primary Petroleum,,1.99817425
Residenital-Propane/ LPG,Apartments in 2-4 Unit Buildings,housing,0.011
Residenital-Propane/ LPG,Apartments in 5 or More Unit Buildings,housing,0.01
Residenital-Propane/ LPG,Mobile Homes,housing,0.049
Residenital-Propane/ LPG,Single-Family Attached,housing,0.007
Residenital-Propane/ LPG,Single-Family Detached,housing,0.415
Residential Sector,Residenital-Propane/ LPG,Residential,0.492
Residential Sector,Residential-Electricity,Residential,4.388
Residential Sector,Residential-Fuel Oil,Residential,0.584
Residential Sector,Residential-Kerosene,Residential,0.024
Residential Sector,Residential-Natural Gas,Residential,4.694
Residential-Electricity,Apartments in 2-4 Unit Buildings,housing,0.22
Residential-Electricity,Apartments in 5 or More Unit Buildings,housing,0.416
Residential-Electricity,Mobile Homes,housing,0.316
Residential-Electricity,Single-Family Attached,housing,0.207
Residential-Electricity,Single-Family Detached,housing,3.229
Residential-Fuel Oil,Apartments in 2-4 Unit Buildings,housing,0.043
Residential-Fuel Oil,Apartments in 5 or More Unit Buildings,housing,0.064
Residential-Fuel Oil,Mobile Homes,housing,0.004
Residential-Fuel Oil,Single-Family Attached,housing,0.035
Residential-Fuel Oil,Single-Family Detached,housing,0.439
Residential-Kerosene,Mobile Homes,housing,0.011
Residential-Kerosene,Single-Family Detached,housing,0.011
Residential-Natural Gas,Apartments in 2-4 Unit Buildings,housing,0.412
Residential-Natural Gas,Apartments in 5 or More Unit Buildings,housing,0.393
Residential-Natural Gas,Mobile Homes,housing,0.091
Residential-Natural Gas,Single-Family Attached,housing,0.296
Residential-Natural Gas,Single-Family Detached,housing,3.502
Retail (other than mall),Air Conditioning,stuff,0.04
Retail (other than mall),Computing,stuff,0.011
Retail (other than mall),Cooking,stuff,0.008
Retail (other than mall),Lighting,stuff,0.072
Retail (other than mall),Office Equipment,stuff,0.007
Retail (other than mall),Other Appliances,stuff,0.046
Retail (other than mall),Refrigerators,stuff,0.053
Retail (other than mall),Space Heating,stuff,0.076
Retail (other than mall),Ventilation,stuff,0.047
Retail (other than mall),Water Heating,stuff,0.005
Sawmills,boiler fuel,mecs,0.002
Sawmills,end use not reported,mecs,0.095
Sawmills,energy materials in products,mecs,0.0
Sawmills,nonprocess energy,mecs,0.006
Sawmills,process energy,mecs,0.02
School/Church,0-5 Miles,transport-people,0.0752050623
School/Church,20-50 Miles,transport-people,0.1742942458
School/Church,5-19 Miles,transport-people,0.2923411661
School/Church,50+ Miles,transport-people,0.1170680089
Secondary Smelting and Alloying of Aluminum,boiler fuel,mecs,0.0
Secondary Smelting and Alloying of Aluminum,end use not reported,mecs,0.001
Secondary Smelting and Alloying of Aluminum,energy materials in products,mecs,0.0
Secondary Smelting and Alloying of Aluminum,nonprocess energy,mecs,0.002
Secondary Smelting and Alloying of Aluminum,process energy,mecs,0.016
Semiconductors and Related Devices,boiler fuel,mecs,0.011
Semiconductors and Related Devices,end use not reported,mecs,0.001
Semiconductors and Related Devices,energy materials in products,mecs,0.0
Semiconductors and Related Devices,nonprocess energy,mecs,0.032
Semiconductors and Related Devices,process energy,mecs,0.046
Service,Air Conditioning,services,0.021
Service,Computing,services,0.008
Service,Cooking,services,0.001
Service,Lighting,services,0.037
Service,Office Equipment,services,0.004
Service,Other Appliances,services,0.039
Service,Refrigerators,services,0.005
Service,Space Heating,services,0.118
Service,Ventilation,services,0.014
Service,Water Heating,services,0.022
Single-Family,Air Conditioning,housing,0.527
Single-Family,Other-Residential,housing,2.471
Single-Family,Refrigerators,housing,0.369
Single-Family,Space Heating,housing,3.354
Single-Family,Water Heating,housing,1.421
Single-Family Attached,Single-Family,housing,0.546
Single-Family Detached,Single-Family,housing,7.595
Social & Recreational,0-5 Miles,transport-people,0.2308802817
Social & Recreational,20-50 Miles,transport-people,0.8008686217
Social & Recreational,5-19 Miles,transport-people,1.108104929
Social & Recreational,50+ Miles,transport-people,1.402596411
Solar/PV Energy Production,Primary Solar/PV,Solar/PV,0.549922
Specialty trade contractors,All other specialty trade contractors,,0.07888270246
Specialty trade contractors,Drywall and insulation contractors,,0.08025049583
Specialty trade contractors,Electrical contractors and other wiring installation contractors,,0.1190106112
Specialty trade contractors,Finish carpentry contractors,,0.02708005548
Specialty trade contractors,Flooring contractors,,0.01208920465
Specialty trade contractors,Framing contractors,,0.009684024312
Specialty trade contractors,Glass and glazing contractors,,0.009096901273
Specialty trade contractors,Masonry contractors,,0.0220894014
Specialty trade contractors,Other building equipment contractors,,0.02378492913
Specialty trade contractors,Other building finishing contractors,,0.01215238765
Specialty trade contractors,"Other foundation, structure, and building exterior contractors",,0.009125888021
Specialty trade contractors,Painting and wall covering contractors,,0.02981355042
Specialty trade contractors,"Plumbing, heating, and air-conditioning contractors",,0.192806157
Specialty trade contractors,Poured concrete foundation and structure contractors,,0.04078108283
Specialty trade contractors,Roofing contractors,,0.03890539823
Specialty trade contractors,Siding contractors,,0.006938252614
Specialty trade contractors,Site preparation contractors,,0.2423135898
Specialty trade contractors,Structural steel and precast concrete contractors,,0.01112957695
Specialty trade contractors,Tile and terrazzo contractors,,0.009263377106
Steel Products from Purchased Steel,boiler fuel,mecs,0.003
Steel Products from Purchased Steel,end use not reported,mecs,0.007
Steel Products from Purchased Steel,energy materials in products,mecs,0.001
Steel Products from Purchased Steel,nonprocess energy,mecs,0.008
Steel Products from Purchased Steel,process energy,mecs,0.038
Sugar Manufacturing,boiler fuel,mecs,0.043
Sugar Manufacturing,end use not reported,mecs,0.108
Sugar Manufacturing,energy materials in products,mecs,0.0
Sugar Manufacturing,nonprocess energy,mecs,0.002
Sugar Manufacturing,process energy,mecs,0.021
Supplemental Gaseous Fuels,Primary Natural Gas,,0.06151166443
Synthetic Rubber,boiler fuel,mecs,0.019
Synthetic Rubber,end use not reported,mecs,0.01
Synthetic Rubber,energy materials in products,mecs,0.0
Synthetic Rubber,nonprocess energy,mecs,0.001
Synthetic Rubber,process energy,mecs,0.004
Tobacco,boiler fuel,mecs,0.004
Tobacco,end use not reported,mecs,0.0
Tobacco,energy materials in products,mecs,0.0
Tobacco,nonprocess energy,mecs,0.003
Tobacco,process energy,mecs,0.003
Total Biomass Energy Production,Primary Biomass,Biomass,4.715306
Total Petroleum Field Production,Primary Petroleum,Petroleum,23.18417402
Traffic Lighting,Pedestrian Signals,lighting,0.002074
Traffic Lighting,Traffic Signals,lighting,0.009724
Traffic Lighting,Turn Arrows,lighting,0.000204
Transportation Equipment,Aerospace Product and Parts,mecs,0.069
Transportation Equipment,Automobiles,mecs,0.033
Transportation Equipment,Light Trucks and Utility Vehicles,mecs,0.039
Transportation Sector,Highway,Transportation,21.29263474
Transportation Sector,Non-Highway,Transportation,4.067314697
Transportation Sector,Transportation-Related Fuel Consumption,Transportation,2.0884
Transportation-Related Fuel Consumption,Agricultural Equipment,Transportation,0.5966
Transportation-Related Fuel Consumption,Construction and Mining Equipment,Transportation,0.9575
Transportation-Related Fuel Consumption,Industrial Equipment,Transportation,0.3491
Transportation-Related Fuel Consumption,Recreational Equipment,Transportation,0.1852
Unreported,0-5 Miles,transport-people,0.007555635715
Unreported,20-50 Miles,transport-people,0.07909900189
Unreported,5-19 Miles,transport-people,0.05545724488
Unreported,50+ Miles,transport-people,0.3387445787
Vacant,Air Conditioning,services,0.002
Vacant,Computing,services,0.001
Vacant,Lighting,services,0.005
Vacant,Other Appliances,services,0.008
Vacant,Refrigerators,services,0.001
Vacant,Space Heating,services,0.013
Vacant,Ventilation,services,0.004
"Veneer, Plywood, and Engineered Woods",Reconstituted Wood Products,mecs,0.097
"Veneer, Plywood, and Engineered Woods",boiler fuel,mecs,0.006
"Veneer, Plywood, and Engineered Woods",end use not reported,mecs,0.104
"Veneer, Plywood, and Engineered Woods",energy materials in products,mecs,0.0
"Veneer, Plywood, and Engineered Woods",nonprocess energy,mecs,0.007
"Veneer, Plywood, and Engineered Woods",process energy,mecs,0.043
Warehouse and storage,Air Conditioning,stuff,0.035
Warehouse and storage,Computing,stuff,0.016
Warehouse and storage,Lighting,stuff,0.085
Warehouse and storage,Office Equipment,stuff,0.006
Warehouse and storage,Other Appliances,stuff,0.074
Warehouse and storage,Refrigerators,stuff,0.047
Warehouse and storage,Space Heating,stuff,0.116
Warehouse and storage,Ventilation,stuff,0.013
Warehouse and storage,Water Heating,stuff,0.011
Waste Coal Supplied,Primary Coal,Coal,0.186808
Water,Recreational Boats,,0.242934662
Water,Water-Freight,,0.726238647
Water-Freight,Domestic Shipping,transport-stuff,0.103327293
Water-Freight,International Shipping,transport-stuff,0.622911377
Wet Corn Milling,boiler fuel,mecs,0.066
Wet Corn Milling,end use not reported,mecs,0.035
Wet Corn Milling,energy materials in products,mecs,0.0
Wet Corn Milling,nonprocess energy,mecs,0.003
Wet Corn Milling,process energy,mecs,0.036
Wind Energy Production,Primary Wind,Wind,1.815716
Wood Products,Other Wood Products,mecs,0.094
Wood Products,Sawmills,mecs,0.123
Wood Products,"Veneer, Plywood, and Engineered Woods",mecs,0.161
boiler fuel,chp and/or cogeneration process,mecs,1.775
boiler fuel,conventional boiler use,mecs,0.772
industrial sector,industrial-coal,Industrial,1.43
industrial sector,industrial-electricity,Industrial,3.4
industrial sector,industrial-natural gas,Industrial,10.84
industrial sector,industrial-other,Industrial,7.11
industrial sector,industrial-petroleum,Industrial,1.39
industrial-coal,manufacturing,Coal,1.41
industrial-coal,non-manufacturing,Coal,0.0174
industrial-electricity,manufacturing,Electricity,2.6
industrial-electricity,non-manufacturing,Electricity,0.9275
industrial-natural gas,manufacturing,Natural Gas,8.856
industrial-natural gas,non-manufacturing,Natural Gas,2.0979
industrial-other,manufacturing,Industrial,4.994
industrial-other,non-manufacturing,Industrial,1.63867
industrial-petroleum,manufacturing,Petroleum,0.186
industrial-petroleum,non-manufacturing,Petroleum,1.2064
manufacturing,Apparel,mecs,0.005
manufacturing,Beverage and Tobacco Products,mecs,0.095
manufacturing,Chemicals,mecs,6.297
manufacturing,Computer and Electronic Products,mecs,0.162
manufacturing,"Electrical Equip., Appliances, and Components",mecs,0.074
manufacturing,Fabricated Metal Products,mecs,0.349
manufacturing,Food,mecs,1.113
manufacturing,Furniture and Related Products,mecs,0.037
manufacturing,Leather and Allied Products,mecs,0.003
manufacturing,Machinery,mecs,0.165
manufacturing,Miscellaneous,mecs,0.057
manufacturing,Nonmetallic Mineral Products,mecs,0.833
manufacturing,Paper,mecs,2.087
manufacturing,Petroleum and Coal Products,mecs,4.168
manufacturing,Plastics and Rubber Products,mecs,0.295
manufacturing,Primary Metals,mecs,1.641
manufacturing,Printing and Related Support,mecs,0.09
manufacturing,Textile Mills,mecs,0.097
manufacturing,Textile Product Mills,mecs,0.028
manufacturing,Transportation Equipment,mecs,0.323
manufacturing,Wood Products,mecs,0.386
non-manufacturing,Agriculture,,1.167
non-manufacturing,Construction,,1.5069
non-manufacturing,Data Centers,,0.2388
non-manufacturing,Mining,,2.97517
nonprocess energy,conventional electricity generation,mecs,0.007
nonprocess energy,facility hvac,mecs,0.307
nonprocess energy,facility lighting,mecs,0.083
nonprocess energy,onsite transportation,mecs,0.035
nonprocess energy,other facility support,mecs,0.05
nonprocess energy,other nonprocess use,mecs,0.009
process energy,electro-chemical processes,mecs,0.163
process energy,machine drive,mecs,1.025
process energy,other process use,mecs,0.209
process energy,process cooling and refrigeration,mecs,0.158
process energy,process heating,mecs,2.682
